date,src,desc
17-Aug-07,http://www.bryanboy.com/bryanboy_le_superstar_fab/2007/08/malu-fernandez-2.html,Malu Fernandez receives flames and death threats after putting her foot in her mouth--she then resigns from her job due to the wrath of the blogosphere
04-Oct-07,http://usatoday30.usatoday.com/life/television/2007-10-03-3650831628_x.htm,"Desperate Housewives character says ""I want to make sure her degree isn't from some med school in the Philippines"". Batten the hatches! Alert the Philippine internet! Not only did Filipinos complain, but some even wanted the writers to add lines in the next episode talking about how awesome Philippine doctors are."
05-Oct-07,http://www.gmanetwork.com/news/story/63181/showbiz/the-daily-show-segment-labels-cory-aquino-slut,"The Daily Show showed a picture of Cory Aquino with the word ""slut"" written on the photo. Hilarious that people got so mad over it when they clearly hadn't even seen the segment, in which it was clear that the object of ridicule wasn't Cory but the character that couldn't appreciate her."
10-Dec-07,http://www.gmanetwork.com/news/story/70206/news/timeline-marilou-ranario-case,"Same with Marilou Renario, who killed her employer. Some articles written about her go on for paragraphs about what a good person she is, then in the very last sentence mention that she's a murderer but who cares about that."
20-Jan-08,http://newsinfo.inquirer.net/inquirerheadlines/nation/view/20080120-113521/Malacaang-Forget-Edsa-II,Inquirer inaccurately reports that Malacanang tells people to forget EDSA II. Bloggers furious.
23-Mar-08,https://www.youtube.com/watch?v=NxM-fUkbbyc,Our sad excuse for talk show comedy did this
08-Oct-08,http://www.theguardian.com/world/2008/oct/08/philippines.comedy,
10-Nov-08,http://newsinfo.inquirer.net/inquirerheadlines/nation/view/20081110-171231/Snubs-show-Obama-is-no-RP-friend,"Obama, freshly elected, is unable to respond immediately to Gloria's congratulatory phone call. Somehow, this is the same as a ""snub""."
17-Mar-09,http://www.abs-cbnnews.com/nation/03/17/09/nicole-now-doubts-if-smith-raped-her,"Following much uproar over the VFA because of an alleged rape by Daniel Smith, most of the VFA critics are now left with egg on their faces following Nicole's confession that it was consensual after all."
01-Apr-09,http://www.gmanetwork.com/news/story/155062/news/nation/chip-tsao-apologizes-for-maid-country-remark,"HK Magazine columnist Chip Tsao refers to the Philippines as ""a nation of servants"". Tons of angry Filipinos eventually force him to make a public apology before Philippine officials. You'd think that would be enough for us, but the spokesperson for the Department of Foreign Affairs made a point of noting that Chip Tsao did not pledge to not do it again. Seriously?"
08-May-09,http://showbizandstyle.inquirer.net/lifestyle/lifestyle/view/20090508-203928/The-Tracy-Isabel-Borres-Facebook-sizzler,"Many Ateneans set a sterling example by forwarding a blog entry by Tracy Borres, who hated her immersion, and labelling the email ""Tracy Borres: Kill her?"""
16-May-09,http://www.rogerebert.com/rogers-journal/cannes-4-what-were-they-thinking-of,"Saw this one coming. Ebert blogged that he hated Brillante Mendoza's ""Kinatay"". As I type this, the squad is rabidly attacking Ebert and other critics for dissing THE COUNTRY. Ebert writes: ""Never before have I received feedback confusing a negative review of a film with a negative review of a country."""
18-May-09,http://www.gmanetwork.com/news/story/161761/news/nation/alec-baldwin-s-rp-mail-order-bride-remark-irks-senator,"Alec Baldwin offhandedly remarks that he plans to get a Filipina or Russian mail-order bride. Philippine consulate demands an apology, telling him how ignorant he is of Filipino laws against mail order brides. I guess the Russians are not patriotic enough about their country to care?"
30-Jun-09,http://www.gmanetwork.com/news/story/166235/pinoyabroad/pardoned-ofw-may-vecina-back-in-rp,"Overseas worker May Vecina murders her employer's youngest son and attempts to murder his two siblings. Government spends time and resources attempting to seek clemency, even going so far as to have the vice president seek a personal appeal from the Emir. Because she's a victim in all this."
29-Sep-09,http://www.khaleejtimes.com/kt-article-display-1.asp?xfile=data/theuae/2009/september/theuae_september569.xml&section=theuae,"Some Filipina in Dubai posts that the Philippines is full of sinners and deserves the typhoon it got. Some Filipinoes in the Philippines bombard her with hate mail, create a Facebook hate group, and petition to get her declared persona non grata."
05-Jun-10,http://www.huffingtonpost.com/2010/04/05/adam-carolla-angers-phili_n_525412.html,Adam Carolla is the latest addition to the Filipino hit list; due to a slew of derogatory remarks he made about the country. Someone tell me if antagonism is his gimmick because I strongly suspect that Filipinos are being huge drama queens again.
